Company,years_active,z_book_mean,z_book_last,z_market_mean,z_market_last,target_0_count,total_years,distress_rate,z_book_trend
فاهواز,8,-9.9587554841187,-7.667535125956062,-1.1882444654445952,4.024656902516385,7,8,87.5,-0.9485181560386895
شپلی,19,-8.17632372857722,1.029555169078578,-0.930330651248179,1.431124089917971,15,19,78.9,-2.437858827980575
فسدید,7,-7.252673496420327,-12.99133220759779,-1.6913712566759138,-2.74090240211485,7,7,100.0,-8.706993422816556
فماک,5,-3.9184710981380313,-6.026173220470033,-0.19696033792511683,-0.8742905780663267,2,5,40.0,-4.082563406355292
شپترو,18,-1.150619095432944,-4.8657141014957,0.8735614116048699,-1.485566458923711,8,18,44.4,-4.025972335055658
اروند,5,-1.0303668977248026,4.328350500507757,,,1,5,20.0,14.502248624745448
فروسیل,3,-0.8939559068279612,-1.597084512340565,1.929480747665429,1.2335985340409,1,3,33.3,-1.8687189154288943
سباقر,11,-0.696270328259139,3.861529749971142,1.3646933323009323,3.789878090058575,4,11,36.4,4.196864904843279
ذوب,18,-0.6889597576985037,-0.9007302115443758,0.8507303760181844,0.1878500083952197,7,18,38.9,0.4888747821842794
سدور,19,-0.6875856683995774,-8.060138539105939,1.6763202991996042,-0.4516137569329863,6,19,31.6,-3.265869144643818
شمواد,17,-0.35886606373221464,4.714938511417795,2.1739543755315847,6.846686728043498,12,17,70.6,-2.1380415033523916
شستان,7,-0.14618832244563773,-0.6771448117547632,0.39864451342275414,0.3815763923264293,7,7,100.0,0.05377114587358141
سکارون,9,0.23433386795164562,-4.991918441129573,2.066222260948055,0.5179704122582256,1,9,11.1,-3.3324172172165634
فوکا,10,0.2692400728841753,1.835999626455299,1.4614741048499145,6.101229754648369,8,10,80.0,-5.3085760202533425
سیلام,18,0.39498986198339997,0.5144884559065823,2.097212862800471,2.644453436886491,2,18,11.1,-1.2959572329686684
شغدیر,10,0.4389644829905978,-0.8949904351617318,5.292771047382487,2.346647646617257,2,10,20.0,3.953846091095216
شگویا,5,0.5367103219197948,-0.462469830236898,3.4905831217742462,2.368446929425663,0,5,0.0,0.8491471068115908
درپاد,5,0.5956769252881808,0.6692250380483632,,,4,5,80.0,1.7481096243679968
سجام,7,0.6631362955691407,4.700919209994691,2.1338926360823534,4.058887178572694,1,7,14.3,5.38045761077414
سلار,9,0.7725095826812434,2.15312893474501,1.061288016024806,4.321375775802937,1,9,11.1,0.43643451226022467
سخواف,14,0.8291398717240602,1.174366562927666,2.556369185464702,2.502532212717771,11,14,78.6,0.11297044938971101
شگامرن,7,0.9586220980662761,-1.414113677119475,4.288674202216271,4.162106647557346,6,7,85.7,-0.12293650024829228
درازی,10,1.012668211763733,0.337662282125761,,,5,10,50.0,-0.2784712622003418
کاوه,14,1.0300369519695898,0.1591987874067186,2.7558640657488835,2.042608625191547,2,14,14.3,2.7804449616060563
داکسیر,5,1.1257987685909607,0.6895196689124068,,,3,5,60.0,-0.6022253754442709
دتوزیع,9,1.1548808624911286,1.097104560265356,,,5,9,55.6,0.45288125821918723
سبزوا,16,1.188492192493453,5.018294943793564,2.1974096694878003,4.848903248976809,3,16,18.8,3.0446709491549284
سصوفی,16,1.2695159262161708,8.23052825045622,2.2965184316540195,5.88066531874172,0,16,0.0,2.878881987389311
سیسکو,7,1.2786075140187811,0.3790365753455227,1.395352562057318,1.395352562057318,0,7,0.0,2.7846171192322284
هجرت,9,1.322149109680898,1.539818380248393,,,0,9,0.0,0.5021387605954382
فجهان,7,1.323775912024893,0.5609441090311884,2.3175628235045562,1.91066526607934,0,7,0.0,2.7257967677959165
فلوله,19,1.3593223917606387,2.165015622156112,2.0398630589891162,2.377186148248235,7,19,36.8,-0.19383269549909476
نوری,17,1.4949397291809792,3.771060311540724,5.283789431445055,5.186309495302631,1,17,5.9,5.262224785073532
ساروج,12,1.5738440670451403,7.433327288515549,3.54479634778227,6.976738246488298,0,12,0.0,6.205980854977558
شصفها,11,1.5779059466181105,1.334737046534582,1.5625862874754262,2.310245291091374,6,11,54.5,-0.3052967294281188
سشرق,17,1.6183754239394192,5.509576943358521,2.0086017273427332,4.346192522871277,3,17,17.6,3.040729222380855
فنورد,17,1.6205731526391602,4.367674705785326,3.3753475106499065,4.980259657780955,1,17,5.9,1.571359680778908
سفار,14,1.637378889134008,3.653494037283118,3.400976837308142,6.395712211759899,0,14,0.0,0.9226237488700813
شفارا,10,1.6415863236823973,2.402962070954539,2.9405055638535544,1.84188038019318,2,10,20.0,1.3736083831348618
سخزر,17,1.9631366366563001,6.110732906352863,2.82838753644863,4.718115511283679,0,17,0.0,3.1889623675118037
شدوص,18,2.030307557680974,5.927510175705459,3.8043711525008366,6.456581150390353,4,18,22.2,2.0610957705188264
شبریز,8,2.04076977699046,8.118381626614902,5.530527458528997,9.323246336254766,0,8,0.0,3.418836131957917
سکرد,17,2.196458962915345,5.263391047968132,3.823687599727433,5.752174774706011,4,17,23.5,-0.21880020951493107
فافزا,6,2.2750120093041706,0.7078759082093522,3.167073415404582,3.896375538214664,1,6,16.7,-1.3206082013666722
دبالک,15,2.361431569570884,2.833525398070345,3.1276380308917293,2.308812930704972,9,15,60.0,1.5869839863271211
پارس,9,2.4199993709564644,5.151838983935267,5.044924351006216,4.264527130733162,3,9,33.3,6.503467428020924
دلقما,17,2.42202636082481,3.367307395440421,2.0784398002817652,2.153185767047456,9,17,52.9,2.930703548961789
شپاس,19,2.4736589117783425,2.405937962947536,4.119974542752265,3.024581620013,5,19,26.3,0.1661536922013136
شتهران,14,2.4856505190472857,2.915884399906732,1.8125171812425502,2.000776555426693,9,14,64.3,0.4928286975854088
دزهراوی,15,2.531452668504951,2.671821203038609,2.7699167137632954,2.289204095841193,9,15,60.0,-1.2575642407347587
شاراک,11,2.5745597153213806,0.6642442723041367,3.0648514535169906,3.346067970636247,0,11,0.0,2.7867360360436666
سآبیک,12,2.713265044266896,9.99802189422865,7.668724116295667,7.948601160946105,0,12,0.0,7.674106709082879
دسانکو,12,2.796782147525892,4.08525167004903,2.504041267833293,2.083578842780666,11,12,91.7,1.941170134845643
سبجنو,19,2.824788102989335,5.866142007765166,3.1621441667355428,5.783645269391986,0,19,0.0,3.6711503704038373
شکام,10,2.8715299045170055,3.278708419969316,3.497586437538162,2.534258770326382,7,10,70.0,1.9116991285722449
بوعلی,6,2.9086344094862313,4.89683739529972,5.609112712273301,5.636953962548033,0,6,0.0,4.2061678165603755
ستران,18,2.931050766953425,7.770462993216082,3.026079249746002,5.561488302827501,1,18,5.6,0.7933741315181191
شلعاب,18,2.959008041044403,3.556441774589237,2.535115174621472,2.266689398797394,13,18,72.2,-0.9372196694346182
سخوز,13,2.9604500243249143,11.18803433397283,4.735768941228824,8.924556462754472,0,13,0.0,3.514203343764537
کی بی سی,13,3.0150591613864446,1.074722153057583,,,8,13,61.5,-3.471266242039812
جم پیلن,5,3.0288855598713558,9.802713242435564,10.2122224483945,10.2122224483945,0,5,0.0,6.074707283689745
ددام,19,3.076560667016609,4.59476332448652,3.1007327606778547,3.34579761040953,9,19,47.4,-0.5552796471692396
سهگمت,15,3.1126588813909555,12.22613201458317,3.268717794601876,9.741336251617435,1,15,6.7,3.3391663737999133
سپاها,17,3.1603036898175376,7.511136428251254,3.2065514681301632,5.936326916478139,2,17,11.8,4.289908458594298
دارو,19,3.194273756980516,3.210645898798329,2.599743276858558,1.701733928316171,10,19,52.6,0.6826258876766351
دروز,17,3.245848330200596,2.684977214122833,2.924527748078484,2.461761201619228,10,17,58.8,-3.242931025541842
شفارس,18,3.3228413144202817,6.446951631433446,3.8556915699062935,5.259152463727112,4,18,22.2,3.336705639862129
شنفت,19,3.346770109930029,5.193220602219806,3.8400560083079682,4.792221609401043,5,19,26.3,3.289060928228387
سشمال,9,3.3517313217643174,3.900160294801458,2.025571093762588,1.940655853055436,3,9,33.3,1.2596246800429274
شراز,3,3.383396802625388,2.702311102562097,5.735236806092268,6.064962778863546,0,3,0.0,0.5428964866008759
جم,13,3.4074438629611548,0.533720898633735,5.941621545250497,3.079756353818345,0,13,0.0,5.783782433768941
فخوز,19,3.4460474924671147,2.342923937953858,3.6817385568306173,2.648108310585097,0,19,0.0,1.519925740446316
شاوان,10,3.4796169775249917,3.438005896876349,6.365774243064552,6.180076611496181,0,10,0.0,9.424752171684128
کلر,11,3.5295210388965006,7.966637672796574,12.012247007989817,6.229950833452035,1,11,9.1,7.1839600570710545
سغرب,18,3.5323339127946793,5.723923849035057,3.8769532851453996,4.865864635067911,0,18,0.0,2.8118450720791426
شگستر,3,3.54484060831618,4.400851188091158,2.7655481144806098,2.457358915691164,2,3,66.7,1.930126210958714
شکبیر,4,3.6390970861963456,5.809905980272007,3.5835635135862924,5.424200641310607,0,4,0.0,1.6605167782830477
شکربن,17,3.6963073593509015,7.598127867313808,3.3478400008204594,6.035241006044265,2,17,11.8,4.34696753741923
فولاژ,16,3.7432828857588896,1.5328330176713,2.551820794081968,2.48187644189412,3,16,18.8,-2.0120694454613064
دکوثر,19,3.786556984740799,2.779692150546301,2.5779918697850217,2.687217336480365,16,19,84.2,0.800640480221491
شجم,3,3.873038558568967,1.922247137274109,5.172678037636314,3.204788700313459,0,3,0.0,-1.675069274228314
شسینا,18,3.9150453277891413,6.128808562419383,4.3812128427661206,5.709036722822941,2,18,11.1,1.1820773974305077
دهدشت,2,3.9585944834635614,9.935764647502923,3.5530432881520553,6.812862028917142,1,2,50.0,0.0
دشیمی,18,3.9738752625180798,3.118976099662579,3.2940658231793716,1.763528375238669,8,18,44.4,2.2244375352184007
دابور,19,4.00894491780143,3.563406433918108,3.098373184448155,2.754558492146128,11,19,57.9,1.8320507090339633
شسپا,16,4.0573189123776645,4.776046989940479,4.191826544034796,4.597890585596623,1,16,6.2,1.0609689422983735
فخاس,16,4.060696691073164,6.332798509056182,5.042620604409821,3.980711794625174,1,16,6.2,2.635725997897468
دلر,19,4.110402201169354,4.849276989662,3.2751165874582573,3.355625495823423,7,19,36.8,2.715433876483022
سمازن,15,4.144074411897529,8.02395104369705,4.310056034187388,9.031914754136118,0,15,0.0,4.6031337397946706
دکیمی,19,4.1565238214220805,1.947818238720281,2.956307202644096,2.124930425851005,7,19,36.8,-0.101704646323304
شتران,8,4.162939829737921,10.60198973482948,7.632274669376646,9.276032202823234,2,8,25.0,5.6867851189921845
فهامون,7,4.2138370025330145,0.4090959743944191,,,1,7,14.3,-3.569457623410246
کویر,7,4.219631948632602,0.7925515731994062,4.539471334091152,1.48373711879508,1,7,14.3,-4.1569997034802135
درازک,19,4.2539043617316645,1.065373144241737,3.3360404274297046,1.49401315919128,12,19,63.2,0.5035103452008372
دتولید,15,4.315254974308525,2.425352173798184,3.292967035434161,1.436568149211513,9,15,60.0,-1.9989966881833219
دزاگرس,7,4.367598938603772,8.64009810329002,5.64237493353258,5.64237493353258,4,7,57.1,5.211176815330873
فسازان,10,4.374670681298949,3.697034149350239,5.46466590286128,4.020037430108193,1,10,10.0,-1.3988647906090148
دفارا,19,4.3986593405109184,4.888530534743286,3.094466701139909,3.836776511035638,12,19,63.2,-0.7647427873333044
کیمازی,3,4.44041651453345,5.055605699311216,,,2,3,66.7,-2.0166752594021666
سدشت,17,4.468593212292725,9.550631240731624,6.394847215607893,18.51558340101514,1,17,5.9,0.536373921421057
دیران,18,4.478471493339018,4.016301960475372,3.4359246719620726,2.467364329221422,13,18,72.2,0.43562430912374417
دعبید,18,4.4827312551918475,4.678772248340523,4.39203995907665,5.234853543692665,8,18,44.4,0.8712192246690229
دکپسول,4,4.510793003351518,7.143637515206084,7.329057917653842,7.329057917653842,1,4,25.0,2.956461692600818
فولای,17,4.5557353128381655,5.60502984869302,5.471126973777173,5.723564253526606,6,17,35.3,2.86692897662798
دامین,19,4.601512064107203,4.337693488179773,3.0389399106021857,4.036767022377475,9,19,47.4,0.3758107190844564
دحاوی,14,4.613903191564246,5.410946175160699,2.971191128219789,2.490008006671209,8,14,57.1,1.9864431525936248
سصفها,18,4.647758343004562,5.226656614839616,6.074202829941878,6.827737765461462,0,18,0.0,-3.4030442019519884
شبهرن,18,4.709604675714643,4.279996199596597,4.23942938887039,4.808729076735631,0,18,0.0,1.9664916643770591
ساروم,16,4.739474113955653,12.02273296834504,4.6637227774531915,9.569573693746717,0,16,0.0,4.066150659694445
دتماد,16,4.753286095882753,4.309303203632238,3.5578558231757986,3.119314012903801,2,16,12.5,0.8863918828151256
دفرا,9,4.762819502589319,9.723517454504675,3.7553648512149618,7.98036182742126,0,9,0.0,4.62504277910163
کاسپین,13,4.836844315378279,6.991388145292309,3.81348863360313,4.131882251741213,5,13,38.5,1.101379718067836
سقاین,17,4.9506748489841135,3.632958899199775,6.628764986437809,3.772511432440959,2,17,11.8,-0.5955846024431084
درهآور,9,5.011084229309209,7.223250659294559,5.624581402413007,6.659354280046009,4,9,44.4,4.091787769303732
ساراب,14,5.044867386895774,12.30111922337171,3.941163362725662,13.18816720716007,0,14,0.0,3.5064930655932733
فولاد,18,5.04844327494734,5.687414160882946,3.5586671925273055,3.856042753003477,1,18,5.6,3.456785109312313
سخاش,18,5.075544607862832,7.458595086759282,5.0807089697836485,5.696055787296308,0,18,0.0,2.080188247320878
فروژ,7,5.105389864699352,2.216249150675188,4.3877772122562995,1.810226946265195,1,7,14.3,-0.5122254215252475
هرمز,13,5.127284926279083,1.591560995437848,4.373252485267304,1.786245566185976,2,13,15.4,5.3550907728753145
شفن,16,5.258544041101784,2.843097691458071,4.647421678581603,2.544452168756143,2,16,12.5,1.6218919247199626
داسوه,19,5.304852106441174,2.464245543896529,4.320916560226412,2.685276706118798,5,19,26.3,-0.24559805599768847
فجر,17,5.307034925461149,6.654175416814025,4.228226030984252,4.403012487784181,3,17,17.6,3.1527741591106313
مارون,13,5.330606705096917,-0.0830397793398257,9.064564099448056,2.390173172517054,0,13,0.0,1.4707756557133118
دجابر,16,5.349726366199661,5.903669148026977,3.69911597910966,3.04035479741249,7,16,43.8,0.3673356576979039
شصدف,10,5.574659253437297,3.628328000401264,6.32202296482825,4.239594161327275,1,10,10.0,-2.1625749258580624
دشیری,9,5.578345057631187,6.861164032666946,4.744211294844691,4.472186010174897,0,9,0.0,1.6396853147648311
سفانو,15,5.663805763650839,13.68581819857767,5.7158676024188795,15.23871293993342,0,15,0.0,5.9386170364573925
دپارس,17,5.7635804578685,7.326499256951729,4.157866873824941,5.755521938762714,6,17,35.3,0.8855669381251303
ممسنی,3,5.785546996638572,6.828176399290578,3.2280432130925227,4.145220706649226,1,3,33.3,0.38954589951870755
سبهان,17,5.913027206176968,6.484518452305883,5.941214285644367,4.713557426420964,0,17,0.0,-1.6098087540313317
بیوتیک,8,5.952693442718738,5.166581801382986,3.525155070057631,3.644925096757364,4,8,50.0,0.04259417140149058
سهرمز,3,5.9913295745428305,5.529755860762585,5.9535157477894325,4.153524107714012,0,3,0.0,-0.5609795013648542
شتوکا,13,5.9919861123433105,8.46148216729318,5.8650449167111995,6.035374930777346,2,13,15.4,1.5839707766492248
شبندر,14,6.035681044334268,6.006842856986615,7.840974490387712,7.109794446952906,2,14,14.3,3.351383348962149
ریشمک,1,6.083717900297019,6.083717900297019,,,0,1,0.0,0.0
شملی,7,6.124099911907877,5.877037092300718,4.674838377679293,3.734895592443004,5,7,71.4,-0.43714032886592236
سنیر,18,6.1449811528623055,5.942917878783058,7.092590859199312,5.430892780762536,0,18,0.0,-0.5010153380138043
فسپا,18,6.155081226879846,8.430083331286259,5.214623219779103,5.988935352737621,2,18,11.1,3.8398373544795854
شرانل,18,6.163380518336805,7.099219728348053,5.935556427857453,7.144867243135424,2,18,11.1,0.9691594705201041
شپنا,5,6.238528767234385,4.203461214348405,8.20495631959255,6.564820666356612,0,5,0.0,0.36787166084168277
فروس,16,6.248697752771355,2.55101203303972,4.672647528953638,1.907284276780321,2,16,12.5,-2.264881640339153
داوه,6,6.362857113986128,6.904470137284102,4.644057135680201,6.436669000171701,0,6,0.0,-2.2150948535512054
دالبر,19,6.501815459624165,3.237951596535523,4.542902793246394,1.900231824106896,7,19,36.8,-0.5169239539830448
ددانا,9,6.598920808858323,5.00387085657783,4.208307439070037,3.29825885615626,5,9,55.6,0.43567346490088266
زاگرس,9,6.7349941050672575,11.65530407220984,7.743991101889373,9.52858477671536,0,9,0.0,5.103195021953248
شرنگی,10,6.743645456241258,8.123869275459722,7.3992911906359975,16.87896023035535,6,10,60.0,3.1079014282831308
دسبحان,11,6.759868382184433,5.146366343711207,5.085299363463515,3.289718277608569,4,11,36.4,-0.4839362026594083
فپنتا,2,6.784382864723274,4.85701606843509,9.74033144116498,8.263861602643388,1,2,50.0,0.0
سمتاز,14,6.87140975231238,8.359428063458205,5.688269448413174,7.851302790971063,0,14,0.0,4.819162701615454
شبصیر,11,6.9716993652601,8.291417404936855,8.657530562323048,6.306541561736672,0,11,0.0,6.141523397677185
دسینا,15,7.000667524150817,10.20392591334734,5.463798343544435,7.020615398901874,0,15,0.0,-1.8553190648811686
اردستان,9,7.121461269659807,10.96172126079095,10.244001826762377,9.50514596331187,0,9,0.0,8.330309771366558
شخارک,2,7.154325976604036,8.124185920637114,6.061673125616907,7.221470909926719,0,2,0.0,0.0
شفام,7,7.206837564238143,8.447718934485422,5.258390417607885,5.258390417607885,3,7,42.9,3.9483712240508426
شاملا,17,7.343794520635318,6.658690628554136,7.444630235775194,6.925019728597173,0,17,0.0,-0.3293788087871876
ساربیل,8,7.405287356423929,10.16646539597898,7.92418991916656,9.94741778487757,0,8,0.0,3.6118281515531283
شیران,11,7.8680692009305035,5.029726402620461,7.829444065828781,4.177255562343866,0,11,0.0,1.353499686817714
دقاضی,7,7.942042637509785,7.755231592739815,5.993911051935471,4.926560350554877,0,7,0.0,-0.8925516563239295
فصبا,4,8.448721146343047,9.232200717236074,9.14508037836393,7.330508905276623,0,4,0.0,5.755398392351372
آریا,2,8.453568765029399,7.687514719960877,10.333628215663436,8.487471930884443,0,2,0.0,0.0
ساوه,8,8.658676865343928,8.874677700979568,12.291767085502093,8.270198759176848,0,8,0.0,4.210618846389343
داترا,1,14.81034296455012,14.81034296455012,,,0,1,0.0,0.0
جهرم,1,18.59947236569953,18.59947236569953,12.52442353163601,12.52442353163601,1,1,100.0,0.0
فسا,2,21.850767013971904,22.43128365110315,13.537238098354456,15.23745528122931,2,2,100.0,0.0
داراب,1,28.07505450917913,28.07505450917913,15.76910066667099,15.76910066667099,1,1,100.0,0.0
