Feature,Mean_SHAP
ocf_to_finance_cost_lag1,1.0610942
Return_on_Assets_lag1,0.39582828
Interest_Coverage_Ratio_lag1,0.3936659
Quick_Ratio_lag1,0.35799325
Total_Debt_to_Total_Assets_lag1,0.28747955
Operating_Cash_Flow_to_Total_Debt_lag1,0.27753398
Net_OCF_growth_1y,0.25580278
ocf_to_finance_cost_change_1y,0.23195471
Debt_to_Equity_lag1,0.20602567
Net_OCF_lag1,0.19026485
Operating_Cash_Flow_to_Total_Debt_change_1y,0.18654524
Interest_Coverage_Ratio_change_1y,0.17996836
Operating_Income_lag1,0.17627111
Current_Ratio_change_1y,0.17578621
Operating_Income_growth_1y,0.17112578
Return_on_Assets_change_1y,0.16100807
Revenue_lag1,0.15157355
Debt_Ratio_lag1,0.15034826
z_score_book_lag1,0.14641914
Return_on_Equity_lag1,0.13954607
Net_Income_growth_1y,0.13347837
Net_Income_lag1,0.12665015
z_score_market_lag1,0.12198029
Current_Ratio_lag1,0.09700748
Return_on_Equity_change_1y,0.09697262
Revenue_growth_1y,0.09583315
Debt_Ratio_change_1y,0.09104781
Debt_to_Equity_change_1y,0.08891901
Quick_Ratio_change_1y,0.06882465
