experiment,feature_set,model,test_f1,test_recall,test_precision,test_auc,threshold,confusion_matrix
E15,Group_B_Financial_Health,"SVM_C2.0_g0.03_cw{0: 1, 1: 3}",0.6714285714285714,0.8245614035087719,0.5662650602409639,0.8527691778465772,0.45,
E15,Group_B_Financial_Health,"SVM_C0.5_gscale_cw{0: 1, 1: 3}",0.6518518518518519,0.7719298245614035,0.5641025641025641,0.8537581699346405,0.44,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.03_cw{0: 1, 1: 3}",0.6474820143884892,0.7894736842105263,0.5487804878048781,0.8546611627106983,0.435,
E15,Group_B_Financial_Health,"SVM_C2.0_gscale_cw{0: 1, 1: 3}",0.6461538461538462,0.7368421052631579,0.5753424657534246,0.8618851049191607,0.475,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.01_cw{0: 1, 1: 3}",0.6442953020134228,0.8421052631578947,0.5217391304347826,0.8568111455108358,0.395,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.03_cw{0: 1, 1: 1}",0.6433566433566433,0.8070175438596491,0.5348837209302325,0.8562951496388029,0.355,
E15,Group_B_Financial_Health,SVM_C1.0_g0.03_cwbalanced,0.6433566433566433,0.8070175438596491,0.5348837209302325,0.8562951496388029,0.355,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.01_cw{0: 1, 1: 2}",0.6423357664233577,0.7719298245614035,0.55,0.8638630890952873,0.455,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.01_cw{0: 1, 1: 2}",0.6423357664233577,0.7719298245614035,0.55,0.8625730994152047,0.41,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.1_cw{0: 1, 1: 3}",0.64,0.7017543859649122,0.5882352941176471,0.8630890952872378,0.495,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.03_cw{0: 1, 1: 2}",0.64,0.7017543859649122,0.5882352941176471,0.8487702098383213,0.475,
E15,Group_B_Financial_Health,"SVM_C0.5_g0.03_cw{0: 1, 1: 3}",0.6382978723404256,0.7894736842105263,0.5357142857142857,0.8574561403508771,0.42,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.01_cw{0: 1, 1: 2}",0.6376811594202898,0.7719298245614035,0.5432098765432098,0.8630030959752322,0.445,
E15,Group_B_Financial_Health,SVM_C0.5_gscale_cwbalanced,0.6363636363636364,0.8596491228070176,0.5051546391752577,0.8520811833505332,0.28,
E15,Group_B_Financial_Health,"SVM_C0.5_gscale_cw{0: 1, 1: 1}",0.6363636363636364,0.8596491228070176,0.5051546391752577,0.8520811833505332,0.28,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.1_cw{0: 1, 1: 2}",0.6349206349206349,0.7017543859649122,0.5797101449275363,0.8655830753353974,0.435,
E15,Group_B_Financial_Health,SVM_C2.0_g0.03_cwbalanced,0.6338028169014085,0.7894736842105263,0.5294117647058824,0.8552631578947368,0.34,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.03_cw{0: 1, 1: 1}",0.6338028169014085,0.7894736842105263,0.5294117647058824,0.8552631578947368,0.34,
E15,Group_B_Financial_Health,"SVM_C4.0_gscale_cw{0: 1, 1: 2}",0.6333333333333333,0.6666666666666666,0.6031746031746031,0.8677760577915377,0.48,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.01_cw{0: 1, 1: 2}",0.6330935251798561,0.7719298245614035,0.5365853658536586,0.8617131062951495,0.435,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.03_cw{0: 1, 1: 3}",0.6324786324786325,0.6491228070175439,0.6166666666666667,0.8472222222222222,0.57,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.03_cw{0: 1, 1: 2}",0.6323529411764706,0.7543859649122807,0.5443037974683544,0.85749914000688,0.425,
E15,Group_B_Financial_Health,"SVM_C8.0_gscale_cw{0: 1, 1: 3}",0.6308724832214765,0.8245614035087719,0.5108695652173914,0.8606811145510836,0.36,
E15,Group_B_Financial_Health,SVM+CatBoost_vote,0.6301369863013698,0.8070175438596491,0.5168539325842697,0.8615411076711386,0.195,
E15,Group_B_Financial_Health,"SVM_C1.0_gscale_cw{0: 1, 1: 3}",0.6290322580645161,0.6842105263157895,0.582089552238806,0.8571551427588578,0.51,
E15,Group_B_Financial_Health,"SVM_C1.0_g0.01_cw{0: 1, 1: 3}",0.6285714285714286,0.7719298245614035,0.5301204819277109,0.8636910904712761,0.45,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.01_cw{0: 1, 1: 3}",0.628099173553719,0.6666666666666666,0.59375,0.8591331269349843,0.555,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.01_cw{0: 1, 1: 3}",0.628099173553719,0.6666666666666666,0.59375,0.859391124871001,0.56,
E15,Group_B_Financial_Health,SVM_C8.0_g0.01_cwbalanced,0.6277372262773723,0.7543859649122807,0.5375,0.8624871001031992,0.4,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.01_cw{0: 1, 1: 1}",0.6277372262773723,0.7543859649122807,0.5375,0.8624871001031992,0.4,
E13,Group_B_Financial_Health,SVM_RBF,0.6275,0.8421,0.5,0.8475,0.28,"[[156, 48], [9, 48]]"
E15,Group_B_Financial_Health,"SVM_C1.0_gscale_cw{0: 1, 1: 1}",0.6274509803921569,0.8421052631578947,0.5,0.8475232198142414,0.28,
E15,Group_B_Financial_Health,SVM_C1.0_gscale_cwbalanced,0.6274509803921569,0.8421052631578947,0.5,0.8475232198142414,0.28,
