feature_set,model,threshold,test_f1,test_recall,test_precision,test_accuracy,test_auc,test_pr_auc,confusion_matrix
Group_B_Financial_Health,SVM_RBF,0.28,0.6275,0.8421,0.5,0.7816,0.8475,0.5772,"[[156, 48], [9, 48]]"
Group_C_Dynamic_Temporal,HistGBM_Opt,0.48,0.6032,0.6667,0.5507,0.8084,0.8428,0.6098,"[[173, 31], [19, 38]]"
Group_F_Literature,SVM_RBF,0.43,0.5915,0.7368,0.4941,0.7778,0.8432,0.5528,"[[161, 43], [15, 42]]"
Group_E_Top30_Stage1,CatBoost_Opt,0.37,0.5909,0.6842,0.52,0.7931,0.8451,0.6254,"[[168, 36], [18, 39]]"
Group_B_Financial_Health,HistGBM_Opt,0.53,0.5839,0.7018,0.5,0.7816,0.8441,0.5813,"[[164, 40], [17, 40]]"
Group_F_Literature,HistGBM_Opt,0.45,0.5828,0.7719,0.4681,0.7586,0.8326,0.5817,"[[154, 50], [13, 44]]"
Group_D_Hybrid_Extended,HistGBM_Opt,0.57,0.5781,0.6491,0.5211,0.7931,0.8347,0.5878,"[[170, 34], [20, 37]]"
Group_F_Literature,CatBoost_Opt,0.45,0.5714,0.6316,0.5217,0.7931,0.8316,0.5901,"[[171, 33], [21, 36]]"
Group_E_Top30_Stage1,HistGBM_Opt,0.47,0.5694,0.7193,0.4713,0.7625,0.8406,0.6142,"[[158, 46], [16, 41]]"
Group_B_Financial_Health,CatBoost_Opt,0.4,0.5672,0.6667,0.4935,0.7778,0.8259,0.5496,"[[165, 39], [19, 38]]"
Group_F_Literature,Stack_SVM_CB_HG,0.42,0.5629,0.8246,0.4273,0.7203,0.827,0.5815,"[[141, 63], [10, 47]]"
Group_D_Hybrid_Extended,Stack_SVM_CB_HG,0.52,0.5612,0.6842,0.4756,0.7663,0.842,0.602,"[[161, 43], [18, 39]]"
Group_D_Hybrid_Extended,CatBoost_Opt,0.38,0.56,0.614,0.5147,0.7893,0.8411,0.5908,"[[171, 33], [22, 35]]"
Group_C_Dynamic_Temporal,CatBoost_Opt,0.28,0.5588,0.6667,0.481,0.7701,0.8312,0.6161,"[[163, 41], [19, 38]]"
Group_B_Financial_Health,Stack_SVM_CB_HG,0.47,0.5564,0.6491,0.4868,0.7739,0.8434,0.6163,"[[165, 39], [20, 37]]"
Group_G_Stage1_Selected,HistGBM_Opt,0.56,0.5538,0.6316,0.4932,0.7778,0.8365,0.6057,"[[167, 37], [21, 36]]"
Group_G_Stage1_Selected,CatBoost_Opt,0.31,0.5414,0.6316,0.4737,0.7663,0.8381,0.56,"[[164, 40], [21, 36]]"
Group_E_Top30_Stage1,SVM_RBF,0.52,0.5303,0.614,0.4667,0.7625,0.834,0.5435,"[[164, 40], [22, 35]]"
Group_C_Dynamic_Temporal,SVM_RBF,0.45,0.5254,0.5439,0.5082,0.7854,0.7557,0.5072,"[[174, 30], [26, 31]]"
Group_D_Hybrid_Extended,SVM_RBF,0.49,0.5246,0.5614,0.4923,0.7778,0.836,0.5604,"[[171, 33], [25, 32]]"
Group_G_Stage1_Selected,SVM_RBF,0.57,0.5234,0.4912,0.56,0.8046,0.7911,0.5566,"[[182, 22], [29, 28]]"
Group_A_Altman_Core,SVM_RBF,0.7,0.5039,0.5614,0.4571,0.7586,0.7602,0.4346,"[[166, 38], [25, 32]]"
Group_A_Altman_Core,HistGBM_Opt,0.59,0.4805,0.6491,0.3814,0.6935,0.7417,0.4501,"[[144, 60], [20, 37]]"
Group_A_Altman_Core,CatBoost_Opt,0.34,0.4675,0.6316,0.3711,0.6858,0.7439,0.4465,"[[143, 61], [21, 36]]"
