model,thr,c,f1,rec,prec,auc
"SVM_C0.5_gscale_cw{0: 1, 1: 1}",0.28,0.6538,0.6363636363636364,0.8596491228070176,0.5051546391752577,0.8520811833505332
SVM_C0.5_gscale_cwbalanced,0.28,0.6538,0.6363636363636364,0.8596491228070176,0.5051546391752577,0.8520811833505332
"SVM_C0.5_gscale_cw{0: 1, 1: 2}",0.38,0.6667,0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8577571379428965
"SVM_C0.5_gscale_cw{0: 1, 1: 3}",0.44,0.6569,0.6518518518518519,0.7719298245614035,0.5641025641025641,0.8537581699346405
"SVM_C0.5_g0.01_cw{0: 1, 1: 1}",0.42,0.6853,0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8516511867905057
SVM_C0.5_g0.01_cwbalanced,0.42,0.6853,0.6142857142857143,0.7543859649122807,0.5180722891566265,0.8516511867905057
"SVM_C0.5_g0.01_cw{0: 1, 1: 2}",0.49,0.6719,0.6165413533834586,0.7192982456140351,0.5394736842105263,0.8624441004471964
"SVM_C0.5_g0.01_cw{0: 1, 1: 3}",0.43,0.6571,0.6099290780141844,0.7543859649122807,0.5119047619047619,0.8605951152390782
"SVM_C0.5_g0.03_cw{0: 1, 1: 1}",0.405,0.6619,0.6074074074074074,0.7192982456140351,0.5256410256410257,0.8577571379428965
SVM_C0.5_g0.03_cwbalanced,0.405,0.6619,0.6074074074074074,0.7192982456140351,0.5256410256410257,0.8577571379428965
"SVM_C0.5_g0.03_cw{0: 1, 1: 2}",0.445,0.6917,0.6212121212121212,0.7192982456140351,0.5466666666666666,0.8608531131750946
"SVM_C0.5_g0.03_cw{0: 1, 1: 3}",0.42,0.6525,0.6382978723404256,0.7894736842105263,0.5357142857142857,0.8574561403508771
"SVM_C0.5_g0.1_cw{0: 1, 1: 1}",0.255,0.625,0.5987261146496815,0.8245614035087719,0.47,0.8396972824217406
SVM_C0.5_g0.1_cwbalanced,0.255,0.625,0.5987261146496815,0.8245614035087719,0.47,0.8396972824217406
"SVM_C0.5_g0.1_cw{0: 1, 1: 2}",0.37,0.6525,0.6131386861313869,0.7368421052631579,0.525,0.8554351565187479
